ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
112/01/03,"15,311,364","6,871,973,708",446,453.5,443,453,4.5,"22,581"
112/01/04,"20,626,874","9,310,050,329",449.5,455,448.5,449.5,-3.5,"18,233"
112/01/05,"23,972,099","10,972,616,269",459,459.5,455,458.5,9,"20,752"
112/01/06,"21,313,593","9,745,142,549",455,459.5,455,458.5,0,"16,635"
112/01/09,"49,186,355","23,352,375,299",468,481,467.5,481,22.5,"57,305"
112/01/10,"34,785,370","16,867,391,241",486,487,483,486,5,"36,975"
112/01/11,"21,749,124","10,531,314,878",487,488,482,484.5,-1.5,"25,457"
112/01/12,"22,416,984","10,901,640,739",487.5,488,484,486.5,2,"25,780"
112/01/13,"81,848,755","41,113,175,651",507,509,499,500,13.5,"93,121"
112/01/16,"38,781,925","19,573,968,332",506,508,503,505,5,"48,051"
112/01/17,"29,443,522","14,784,661,794",504,504,499.5,503,-2,"27,930"
112/01/30,"148,413,161","80,057,158,264",542,543,534,543,40,"153,125"
112/01/31,"79,212,272","41,736,937,234",537,538,521,522,-21,"74,279"
112/02/01,"42,539,626","22,450,948,467",532,533,522,530,8,"31,487"
112/02/02,"46,523,592","25,091,483,557",538,542,537,540,10,"45,495"
112/02/03,"34,156,234","18,439,613,447",540,542,536,542,2,"39,674"
112/02/06,"32,208,918","17,041,821,849",532,533,526,526,-16,"46,279"
112/02/07,"24,362,116","12,767,910,080",524,528,522,523,-3,"28,519"
112/02/08,"37,633,169","20,247,927,642",538,540,534,540,17,"43,495"
112/02/09,"22,311,345","12,026,317,167",540,540,536,540,0,"19,698"
112/02/10,"30,445,088","16,545,221,176",544,546,541,545,5,"40,984"
112/02/13,"23,903,151","12,921,896,752",544,544,538,541,-4,"22,431"
112/02/14,"23,855,974","12,990,943,260",544,546,543,545,4,"27,983"
112/02/15,"66,068,713","34,751,111,404",526,532,522,525,-20,"103,433"
112/02/16,"33,509,968","17,692,691,883",528,531,524,528,3,"27,033"
112/02/17,"29,673,053","15,385,668,299",524,524,516,518,-10,"55,965"
112/02/20,"21,181,235","10,928,087,780",514,519,511,517,-1,"25,898"
112/02/21,"15,097,509","7,771,141,142",515,517,513,516,-1,"27,200"
112/02/22,"26,578,867","13,474,662,693",506,509,505,507,-9,"47,843"
112/02/23,"26,801,677","13,846,782,345",512,521,510,518,11,"26,552"
112/02/24,"48,372,303","24,932,422,713",524,525,511,511,-7,"29,612"
112/03/01,"45,971,058","23,624,972,884",504,522,504,522,11,"31,738"
112/03/02,"18,017,085","9,344,352,321",519,520,515,519,-3,"14,320"
112/03/03,"24,117,189","12,510,608,773",524,525,516,516,-3,"22,160"
112/03/06,"24,741,125","12,883,854,256",520,524,517,521,5,"20,678"
112/03/07,"27,650,283","14,465,320,023",521,526,519,524,3,"20,595"
112/03/08,"27,077,587","14,091,713,576",521,523,518,521,-3,"20,504"
112/03/09,"25,639,391","13,430,582,677",525,526,522,522,1,"16,497"
112/03/10,"25,572,403","13,122,265,260",515,516,511,513,-9,"46,216"
112/03/13,"22,568,740","11,608,973,891",513,518,509,516,3,"24,150"
112/03/14,"26,599,476","13,602,260,966",511,514,510,510,-6,"24,848"
112/03/15,"24,080,361","12,350,942,139",515,516,510,511,1,"21,075"
112/03/16,"23,325,664","11,809,911,840",505,510,504,505,X0.00,"33,493"
112/03/17,"35,872,881","18,538,033,584",516,518,513,518,13,"21,217"
112/03/20,"12,752,221","6,542,889,562",517,518,510,512,-6,"17,709"
112/03/21,"18,519,120","9,534,730,452",515,517,512,517,5,"14,094"
112/03/22,"45,681,056","24,168,561,556",524,533,524,533,16,"56,483"
112/03/23,"28,614,856","15,307,492,846",528,539,528,538,5,"35,313"
112/03/24,"22,963,771","12,348,311,773",536,539,535,539,1,"24,762"
112/03/27,"17,170,557","9,148,085,033",533,536,531,531,-8,"17,484"
112/03/28,"18,327,556","9,629,323,504",525,530,524,525,-6,"20,744"
112/03/29,"17,620,195","9,329,137,251",533,533,525,530,5,"15,653"
112/03/30,"20,380,650","10,894,446,851",536,537,531,535,5,"18,171"
112/03/31,"24,324,776","12,997,575,231",538,538,532,533,-2,"15,962"
112/04/06,"26,706,549","14,130,223,516",530,531,526,530,-3,"19,144"
112/04/07,"11,114,272","5,903,807,797",535,535,529,531,1,"10,285"
112/04/10,"8,203,168","4,350,907,176",533,533,528,529,-2,"11,698"
112/04/11,"23,087,326","12,101,146,147",522,527,522,524,-5,"24,432"
112/04/12,"24,772,925","12,870,788,209",523,524,517,520,-4,"37,158"
112/04/13,"27,501,436","14,121,978,133",515,517,510,510,-10,"64,834"
112/04/14,"21,174,653","10,936,462,759",516,520,513,516,6,"19,962"
112/04/17,"17,895,837","9,264,789,087",519,520,514,520,4,"17,444"
112/04/18,"15,687,059","8,097,905,529",518,520,514,515,-5,"17,087"
112/04/19,"23,209,923","11,881,404,238",517,518,509,510,-5,"43,281"
112/04/20,"21,002,685","10,780,268,259",512,516,510,513,3,"16,627"
112/04/21,"25,440,179","13,103,618,008",520,520,510,511,-2,"22,738"
112/04/24,"17,579,661","8,903,570,323",505,510,504,507,-4,"31,635"
112/04/25,"40,916,105","20,495,640,143",504,505,498,498,-9,"92,009"
112/04/26,"33,174,539","16,353,670,134",498,498.5,491,491.5,-6.5,"58,580"
112/04/27,"34,149,043","16,816,693,302",491,495,489,493.5,2,"47,699"
112/04/28,"38,812,949","19,433,015,577",498.5,502,498,502,8.5,"23,746"
112/05/02,"17,142,380","8,572,554,842",500,502,496.5,501,-1,"18,247"
112/05/03,"12,694,698","6,305,914,905",496,498,495,496,-5,"25,658"
112/05/04,"13,699,933","6,818,128,036",497,499.5,496,498,2,"14,801"
112/05/05,"7,898,012","3,949,232,374",500,502,498.5,500,2,"10,944"
112/05/08,"11,737,287","5,932,968,954",509,509,502,504,4,"13,709"
112/05/09,"18,762,778","9,530,653,802",507,510,505,510,6,"17,452"
112/05/10,"19,385,820","9,753,130,414",508,508,500,503,-7,"26,320"
112/05/11,"13,775,130","6,894,746,011",506,506,498.5,499,-4,"20,237"
112/05/12,"20,746,928","10,313,384,387",496,500,495,496,-3,"27,989"
112/05/15,"15,548,031","7,721,867,966",497,499.5,494.5,495.5,-0.5,"16,896"
112/05/16,"24,052,785","12,131,536,763",503,508,500,505,9.5,"22,355"
112/05/17,"44,352,410","22,870,340,267",508,521,506,519,14,"52,663"
112/05/18,"46,107,848","24,437,734,052",533,536,526,530,11,"50,359"
112/05/19,"34,742,592","18,476,363,730",535,535,529,532,2,"39,104"
112/05/22,"19,037,508","10,100,912,410",532,533,529,531,-1,"18,796"
112/05/23,"20,126,817","10,638,352,410",530,531,525,530,-1,"15,826"
112/05/24,"22,621,221","11,888,325,332",527,528,524,525,-5,"16,339"
112/05/25,"68,360,924","36,976,525,917",542,545,537,543,18,"80,930"
112/05/26,"104,924,623","59,322,536,825",568,568,563,566,23,"131,612"
112/05/29,"58,813,792","33,454,887,785",574,574,564,568,2,"52,250"
112/05/30,"47,490,594","26,861,389,177",566,568,563,566,-2,"32,956"
112/05/31,"90,675,529","50,573,324,515",560,562,551,558,-8,"39,679"
112/06/01,"25,257,673","13,920,836,412",550,554,550,551,-7,"25,441"
112/06/02,"34,705,102","19,460,144,774",559,564,557,562,11,"30,644"
112/06/05,"17,483,804","9,730,882,750",560,560,555,555,-7,"20,211"
