日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/01/03,"34,837,924","1,429,088,126",40.45,41.50,40.25,41.40,+0.70,"11,807"
112/01/04,"23,638,607","976,626,584",41.25,41.60,41.05,41.05,-0.35,"8,701"
112/01/05,"29,377,553","1,217,437,235",41.80,41.80,41.10,41.25,+0.20,"10,338"
112/01/06,"55,006,322","2,307,218,799",41.30,42.40,41.25,42.40,+1.15,"20,354"
112/01/09,"119,712,112","5,264,075,078",43.60,44.50,43.35,44.50,+2.10,"54,576"
112/01/10,"91,859,993","4,113,559,587",44.50,45.00,44.20,45.00,+0.50,"35,023"
112/01/11,"68,129,447","3,080,219,891",45.30,45.50,44.85,45.15,+0.15,"24,174"
112/01/12,"58,223,810","2,627,002,757",45.35,45.50,44.70,45.15, 0.00,"21,050"
112/01/13,"69,030,914","3,135,964,011",45.70,45.90,45.15,45.40,+0.25,"26,615"
112/01/16,"68,041,885","3,061,599,314",45.25,45.55,44.60,44.90,-0.50,"25,705"
112/01/17,"124,003,475","5,661,857,963",44.95,46.00,44.85,45.95,+1.05,"45,790"
112/01/30,"264,740,891","12,748,197,712",47.95,48.80,47.50,48.80,+2.85,"96,637"
112/01/31,"138,536,178","6,748,580,860",48.30,49.10,47.90,48.80, 0.00,"47,072"
112/02/01,"115,133,990","5,676,797,136",49.50,49.50,48.95,49.25,+0.45,"45,846"
112/02/02,"114,098,694","5,730,356,073",50.00,50.50,50.00,50.40,+1.15,"44,107"
112/02/03,"63,139,735","3,163,235,859",50.20,50.40,50.00,50.10,-0.30,"21,605"
112/02/06,"64,022,562","3,163,818,104",49.70,49.80,49.05,49.05,-1.05,"28,093"
112/02/07,"55,344,450","2,709,590,667",48.55,49.45,48.35,49.15,+0.10,"20,640"
112/02/08,"92,301,107","4,647,328,373",49.80,50.70,49.75,50.50,+1.35,"36,033"
112/02/09,"55,013,417","2,778,495,665",49.85,50.90,49.80,50.50, 0.00,"21,136"
112/02/10,"62,497,880","3,169,633,970",50.50,51.20,50.20,50.80,+0.30,"21,222"
112/02/13,"58,753,295","2,920,820,798",50.20,50.20,49.15,49.75,-1.05,"26,853"
112/02/14,"38,211,905","1,924,064,878",50.20,50.70,50.00,50.40,+0.65,"17,265"
112/02/15,"54,208,787","2,714,131,760",49.90,50.60,49.75,49.90,-0.50,"22,480"
112/02/16,"56,382,709","2,830,062,444",50.40,50.50,49.70,50.10,+0.20,"18,795"
112/02/17,"37,823,237","1,885,469,130",49.65,50.20,49.35,50.00,-0.10,"16,629"
112/02/20,"47,031,722","2,373,924,328",50.00,50.80,49.80,50.50,+0.50,"19,531"
112/02/21,"28,867,482","1,458,242,210",50.40,50.70,50.20,50.60,+0.10,"9,403"
112/02/22,"56,737,182","2,812,290,278",49.50,49.80,49.40,49.55,-1.05,"20,144"
112/02/23,"69,948,050","3,513,685,626",49.90,50.50,49.75,50.20,+0.65,"28,773"
112/02/24,"63,974,513","3,217,880,652",50.70,50.80,49.95,49.95,-0.25,"21,706"
112/03/01,"93,839,862","4,759,022,249",49.00,51.70,48.95,51.30,+1.35,"32,325"
112/03/02,"40,281,967","2,049,318,699",51.10,51.20,50.50,50.70,-0.60,"19,066"
112/03/03,"37,402,848","1,922,368,482",51.30,51.70,51.20,51.30,+0.60,"16,100"
112/03/06,"53,518,724","2,775,164,452",52.00,52.10,51.40,51.90,+0.60,"22,144"
112/03/07,"43,527,496","2,242,610,835",51.50,51.90,51.00,51.60,-0.30,"18,655"
112/03/08,"50,186,671","2,600,565,303",51.40,52.10,51.10,52.10,+0.50,"21,738"
112/03/09,"102,359,028","5,411,372,841",52.50,53.20,52.40,52.50,+0.40,"37,028"
112/03/10,"46,938,564","2,435,873,991",52.00,52.30,51.60,52.00,-0.50,"22,225"
112/03/13,"52,402,352","2,730,186,018",51.80,52.50,51.50,52.50,+0.50,"17,527"
112/03/14,"67,385,313","3,447,939,468",51.50,51.80,50.70,50.70,-1.80,"34,678"
112/03/15,"54,285,213","2,813,965,777",51.50,52.30,51.30,51.70,+1.00,"20,450"
112/03/16,"38,367,443","1,984,452,932",51.70,52.00,51.20,52.00,+0.30,"15,365"
112/03/17,"93,600,027","4,949,827,070",53.00,53.20,52.40,53.20,+1.20,"35,664"
112/03/20,"63,692,610","3,383,301,141",53.40,53.70,52.70,53.20, 0.00,"24,859"
112/03/21,"45,442,640","2,405,461,098",53.50,53.60,52.60,52.80,-0.40,"22,803"
112/03/22,"53,027,160","2,826,362,395",53.20,53.50,53.00,53.50,+0.70,"21,856"
112/03/23,"54,255,907","2,874,395,226",53.00,53.30,52.60,53.30,-0.20,"21,949"
